loan_id,customer_id,amount,issue_date,term_months,interest_rate,app_score,status
L000000,C00000,37804,2023-08-06,18,0.02,699,closed
L000001,C00000,17412,2023-11-04,6,0.02,671,closed
L000002,C00000,36623,2025-01-12,18,0.02,654,active
L000003,C00001,14932,2025-03-05,24,0.02,630,active
L000004,C00001,20295,2025-04-15,18,0.02,657,active
L000005,C00002,12904,2023-05-17,6,0.02,721,closed
L000006,C00002,16263,2023-01-05,12,0.02,614,closed
L000007,C00002,9563,2025-02-19,6,0.02,669,active
L000008,C00003,8142,2025-04-05,6,0.02,677,active
L000009,C00003,13602,2025-03-02,24,0.02,613,active
L000010,C00003,14271,2025-03-17,6,0.02,659,active
L000011,C00004,30675,2025-02-18,18,0.02,658,active
L000012,C00005,21958,2024-01-02,18,0.02,666,active
L000013,C00005,15485,2024-01-07,24,0.02,643,active
L000014,C00005,39300,2024-12-24,6,0.02,657,active
L000015,C00006,21157,2025-03-02,12,0.02,685,active
L000016,C00006,25518,2025-02-28,12,0.02,654,default
L000017,C00007,18601,2024-08-06,18,0.02,647,active
L000018,C00007,5577,2024-11-25,18,0.02,620,default
L000019,C00008,84640,2024-11-29,6,0.012,595,active
L000020,C00008,64409,2024-06-19,24,0.012,654,active
L000021,C00009,18469,2025-03-10,12,0.02,679,default
L000022,C00009,14637,2025-02-25,18,0.02,658,default
L000023,C00010,1631,2025-04-03,12,0.032,642,active
L000024,C00010,5873,2024-09-18,12,0.032,649,default
L000025,C00010,1956,2024-12-31,24,0.032,663,active
L000026,C00011,39232,2024-11-09,18,0.02,652,active
L000027,C00012,42973,2023-02-25,12,0.012,644,closed
L000028,C00012,34725,2025-03-05,24,0.012,645,active
L000029,C00013,6231,2023-06-23,24,0.032,625,active
L000030,C00014,97517,2024-08-19,6,0.012,665,closed
L000031,C00014,34876,2025-02-23,6,0.012,628,active
L000032,C00014,103396,2024-12-14,24,0.012,676,active
L000033,C00015,35702,2025-03-17,6,0.02,665,active
L000034,C00015,40571,2024-04-20,6,0.02,628,closed
L000035,C00015,30578,2024-04-09,12,0.02,709,closed
L000036,C00016,42566,2025-03-15,12,0.02,652,active
L000037,C00017,52584,2025-03-12,24,0.012,634,active
L000038,C00017,72955,2025-02-22,6,0.012,665,active
L000039,C00018,14516,2025-02-11,12,0.02,665,active
L000040,C00018,19675,2023-11-13,18,0.02,657,active
L000041,C00018,10039,2024-11-25,12,0.02,644,active
L000042,C00019,47728,2023-02-25,12,0.012,695,closed
L000043,C00019,42642,2023-03-12,24,0.012,654,closed
L000044,C00019,58956,2024-04-23,18,0.012,679,active
L000045,C00020,11328,2025-04-02,6,0.032,616,active
L000046,C00020,14192,2025-03-09,6,0.032,617,active
L000047,C00021,42715,2024-11-27,18,0.012,612,active
L000048,C00022,86786,2023-12-17,6,0.012,653,closed
L000049,C00022,56277,2023-09-15,24,0.012,667,active
L000050,C00023,9896,2024-09-28,6,0.02,648,closed
L000051,C00023,27602,2024-08-09,18,0.02,661,active
L000052,C00023,13428,2024-07-31,6,0.02,650,closed
L000053,C00024,78448,2023-05-21,6,0.012,677,closed
L000054,C00024,70314,2023-08-04,12,0.012,643,closed
L000055,C00024,144333,2024-06-23,24,0.012,677,active
L000056,C00025,7327,2023-05-02,12,0.032,664,closed
L000057,C00026,37307,2024-10-23,12,0.012,626,active
L000058,C00026,36818,2025-03-25,18,0.012,647,active
L000059,C00027,39992,2023-10-06,24,0.02,638,active
L000060,C00027,37736,2023-08-21,6,0.02,672,closed
L000061,C00028,13622,2024-01-19,24,0.032,681,default
L000062,C00028,11580,2024-12-30,24,0.032,635,active
L000063,C00028,15906,2024-02-15,6,0.032,631,closed
L000064,C00029,50518,2024-10-05,24,0.02,647,active
L000065,C00030,13838,2024-01-19,6,0.02,685,closed
L000066,C00031,9988,2024-04-21,18,0.032,660,active
L000067,C00032,37565,2025-02-22,24,0.02,649,active
L000068,C00032,31142,2025-03-12,24,0.02,668,active
L000069,C00033,18488,2025-02-04,18,0.032,646,active
L000070,C00034,54134,2024-11-10,18,0.012,652,active
L000071,C00034,48724,2024-02-24,18,0.012,654,active
L000072,C00034,32323,2024-07-22,18,0.012,654,active
L000073,C00035,31159,2025-01-27,18,0.02,673,default
L000074,C00035,21870,2023-11-03,18,0.02,665,active
L000075,C00035,38791,2024-08-16,6,0.02,617,closed
L000076,C00036,61151,2025-02-18,24,0.012,647,active
L000077,C00036,40415,2023-08-28,24,0.012,699,active
L000078,C00036,32078,2024-04-17,6,0.012,653,closed
L000079,C00037,4184,2024-11-22,24,0.032,656,active
L000080,C00037,5457,2023-10-22,12,0.032,646,closed
L000081,C00037,5188,2024-09-19,24,0.032,680,active
L000082,C00038,26829,2025-04-10,6,0.012,636,active
L000083,C00038,38212,2025-03-28,24,0.012,639,active
L000084,C00039,19764,2025-02-14,24,0.012,646,active
L000085,C00040,143041,2025-02-10,6,0.012,653,active
L000086,C00040,103225,2025-02-19,6,0.012,657,default
L000087,C00041,41330,2023-05-20,24,0.02,629,active
L000088,C00042,39749,2023-12-11,6,0.02,636,default
L000089,C00043,34319,2025-01-12,6,0.02,648,active
L000090,C00043,38448,2025-01-16,6,0.02,600,active
L000091,C00044,16648,2023-11-14,24,0.02,694,active
L000092,C00045,32356,2024-02-28,24,0.02,659,active
L000093,C00045,40687,2023-06-21,12,0.02,663,closed
L000094,C00045,42607,2024-11-19,24,0.02,635,active
L000095,C00046,26701,2024-04-12,18,0.012,661,active
L000096,C00046,46451,2025-04-09,24,0.012,642,active
L000097,C00046,28188,2024-04-13,12,0.012,713,closed
L000098,C00047,13527,2024-02-07,6,0.032,663,closed
L000099,C00048,39824,2025-02-05,6,0.012,692,active
L000100,C00048,78700,2025-03-24,24,0.012,606,active
L000101,C00048,26106,2024-12-24,6,0.012,664,active
L000102,C00049,6099,2024-12-08,18,0.032,643,default
L000103,C00049,7993,2025-02-05,24,0.032,649,active
L000104,C00050,23171,2024-11-03,24,0.02,660,active
L000105,C00050,12869,2024-06-21,24,0.02,664,active
L000106,C00050,8104,2024-05-17,12,0.02,653,active
L000107,C00051,52133,2024-07-12,6,0.012,615,closed
L000108,C00051,64916,2024-07-20,24,0.012,660,default
L000109,C00052,12568,2023-06-07,12,0.032,692,closed
L000110,C00052,19908,2023-02-05,12,0.032,652,closed
