payment_id,loan_id,due_date,paid_date,amount_due,amount_paid
P0000000,L000000,2023-09-06,2023-09-12,2100,2100
P0000001,L000000,2023-10-06,2023-10-10,2100,2100
P0000002,L000000,2023-11-06,2023-11-11,2100,2100
P0000003,L000000,2023-12-06,2023-12-13,2100,2100
P0000004,L000000,2024-01-06,2024-01-08,2100,2100
P0000005,L000000,2024-02-06,2024-02-08,2100,2100
P0000006,L000000,2024-03-06,2024-03-13,2100,2100
P0000007,L000000,2024-04-06,2024-04-11,2100,2100
P0000008,L000000,2024-05-06,2024-05-16,2100,2100
P0000009,L000000,2024-06-06,2024-06-13,2100,2100
P0000010,L000000,2024-07-06,2024-07-15,2100,2100
P0000011,L000000,2024-08-06,2024-08-10,2100,2100
P0000012,L000000,2024-09-06,2024-09-06,2100,2100
P0000013,L000000,2024-10-06,2024-10-13,2100,2100
P0000014,L000000,2024-11-06,2024-11-10,2100,2100
P0000015,L000000,2024-12-06,2024-12-06,2100,2100
P0000016,L000000,2025-01-06,2025-01-09,2100,2100
P0000017,L000000,2025-02-06,2025-02-09,2100,2100
P0000018,L000001,2023-12-04,2023-12-11,2902,2902
P0000019,L000001,2024-01-04,2024-01-08,2902,2902
P0000020,L000001,2024-02-04,2024-02-08,2902,2902
P0000021,L000001,2024-03-04,2024-03-13,2902,2902
P0000022,L000001,2024-04-04,2024-04-14,2902,2902
P0000023,L000001,2024-05-04,2024-05-13,2902,2902
P0000024,L000002,2025-02-12,2025-02-21,2035,2035
P0000025,L000002,2025-03-12,2025-03-20,2035,2035
P0000026,L000002,2025-04-12,,2035,0
P0000027,L000002,2025-05-12,,2035,0
P0000028,L000002,2025-06-12,,2035,0
P0000029,L000002,2025-07-12,,2035,0
P0000030,L000002,2025-08-12,,2035,0
P0000031,L000002,2025-09-12,,2035,0
P0000032,L000002,2025-10-12,,2035,0
P0000033,L000002,2025-11-12,,2035,0
P0000034,L000002,2025-12-12,,2035,0
P0000035,L000002,2026-01-12,,2035,0
P0000036,L000002,2026-02-12,,2035,0
P0000037,L000002,2026-03-12,,2035,0
P0000038,L000002,2026-04-12,,2035,0
P0000039,L000002,2026-05-12,,2035,0
P0000040,L000002,2026-06-12,,2035,0
P0000041,L000002,2026-07-12,,2035,0
P0000042,L000003,2025-04-05,2025-04-05,622,622
P0000043,L000003,2025-05-05,,622,0
P0000044,L000003,2025-06-05,,622,0
P0000045,L000003,2025-07-05,,622,0
P0000046,L000003,2025-08-05,,622,0
P0000047,L000003,2025-09-05,,622,0
P0000048,L000003,2025-10-05,,622,0
P0000049,L000003,2025-11-05,,622,0
P0000050,L000003,2025-12-05,,622,0
P0000051,L000003,2026-01-05,,622,0
P0000052,L000003,2026-02-05,,622,0
P0000053,L000003,2026-03-05,,622,0
P0000054,L000003,2026-04-05,,622,0
P0000055,L000003,2026-05-05,,622,0
P0000056,L000003,2026-06-05,,622,0
P0000057,L000003,2026-07-05,,622,0
P0000058,L000003,2026-08-05,,622,0
P0000059,L000003,2026-09-05,,622,0
P0000060,L000003,2026-10-05,,622,0
P0000061,L000003,2026-11-05,,622,0
P0000062,L000003,2026-12-05,,622,0
P0000063,L000003,2027-01-05,,622,0
P0000064,L000003,2027-02-05,,622,0
